lat,long,id,weight,price
14.610102898148400,120.997601546836000,O000,0,0
14.624031584118800,120.991294019148000,A001,1521,16233
14.623294095418500,120.991972900361000,A002,828,8456
14.623855724876663,120.99095992943568,A003,1221,20122
14.623358575403600,120.990940001338000,A004,1266,18998
14.622806464917500,120.991468945596000,A005,1317,22175
14.623269915405000,120.990323593850000,A006,1512,25844
14.622169722601900,120.990735920465000,A007,597,7592
14.621686119621000,120.990677611653000,A008,877,11328
14.621203488215682,120.99099501050837,A009,1808,27616
14.619965290400900,120.991781314253000,A010,663,9348
14.618261683734200,120.994283707240000,A011,1124,17281
14.614658875578300,120.993649732080000,A012,1907,29745
14.613530882059900,120.994756243502000,A013,1822,28372
14.615139152309900,120.996495697672000,A014,1432,22217
14.616795878691200,120.997725154807000,A015,1865,2936
14.610278542842100,120.994392142061000,A016,642,8971
14.611281184271000,120.996903766459000,A017,1901,29688
14.608273246257100,120.993670982556000,A018,1538,23802
14.610198331320400,120.996489306972000,A019,688,9855
14.609652892287800,120.997384539437000,A020,1323,22576
14.608923136582600,120.998701017031000,B001,552,6614
14.608355286686300,120.998062264810000,B002,891,11989
14.608018596232600,120.997698747284000,B003,1199,19821
14.607556274176700,120.998134968312000,B004,1876,29765
14.607144203681800,120.998514065171000,B005,1245,1826
14.606536147039200,120.998830844730000,B006,527,6933
14.605671799185700,120.999022989707000,B007,1203,19997
14.605269775753900,120.999220327792000,B008,1058,14524
14.605380332266400,121.000612080595000,B009,864,10674
14.606616551319300,121.002658164981000,B010,1265,18992
14.608827992384200,121.000784776304000,B011,589,7807
14.609519812920600,121.001508537920000,B012,1341,23095
14.608665713173700,121.002497090383000,B013,896,12286
14.607928619712208,121.00365712771377,B014,1473,23752
14.609955402523600,121.002514743117000,B015,1902,29739
14.610587432944300,121.003741607321000,B016,654,9268
14.6101637371193,121.00437500179225,B017,1215,20215
14.609596681753800,121.006142377596000,B018,705,944
14.610749710746200,121.006892618305000,B019,1220,20334
14.609622304672900,121.008357794303000,B020,1678,27128
